HERSTELLER	TYP	SCHALTUNGSKONZEPT	VERWENDUNGSART	MAX. GEN.LEIST. WSTC (W)	AC-NENNLEIST. PAC (W)	EURO-ETA (%)
SMA Solar Technology AG	Sunny Central SC 400MV-11	NF-Trafo	Netzeinspeisung	450000	400000	97.10	
SMA Solar Technology AG	Sunny Central SC 800MV-11	NF-Trafo	Netzeinspeisung	900000	800000	97.30	
SMA Solar Technology AG	Sunny Central SC 1000MV-11	NF-Trafo	Netzeinspeisung	1120000	1000000	97.50	
SMA Solar Technology AG	Sunny Central SC 1250MV-11	NF-Trafo	Netzeinspeisung	1410000	1250000	97.40	
SMA Solar Technology AG	STP 8000TL	trafolos (einstufig)	Netzeinspeisung	8200	8000	97.50	
SMA Solar Technology AG	Sunny Island 5048	NF-Trafo	Inselsystem	0	5000	0.00	
SMA Solar Technology AG	Sunny Island 2012	HF-Trafo	Inselsystem	0	2000	0.00	
SMA Solar Technology AG	Sunny Island 2224	HF-Trafo	Inselsystem	0	2200	0.00	
SMA Solar Technology AG	Sunny Island 3324	NF-Trafo	Inselsystem	0	3300	0.00	
SMA Solar Technology AG	Sunny Island 4248	NF-Trafo	Inselsystem	0	4200	0.00	
SMA Solar Technology AG	Sunny Backup System M	NF-Trafo	Backup-System	0	5000	0.00	
SMA Solar Technology AG	Sunny Backup System L	NF-Trafo	Backup-System	0	44000	0.00	
SMA Solar Technology AG	Sunny Backup System XL	NF-Trafo	Backup-System	0	110000	0.00	
SMA Solar Technology AG	Sunny Backup Set S	HF-Trafo	Backup-System	0	5700	0.00	
SMA Solar Technology AG	SB 1600TL	trafolos (einstufig)	Netzeinspeisung	1700	1600	95.00	
SMA Solar Technology AG	SB 4000TL-21	trafolos (einstufig)	Netzeinspeisung	4200	4000	96.40	
SMA Solar Technology AG	SB 3000TL-21	trafolos (einstufig)	Netzeinspeisung	3200	3000	96.30	
SMA Solar Technology AG	SB 5000TL-21	trafolos (einstufig)	Netzeinspeisung	5300	4600	96.50	
SMA Solar Technology AG	STP 20000TLHE-10	trafolos (einstufig)	Netzeinspeisung	20300	20000	98.60	
SMA Solar Technology AG	Sunny Central SC 500HE-20	NF-Trafo	Netzeinspeisung	560000	500000	98.40	
SMA Solar Technology AG	Sunny Central SC 630HE-20	NF-Trafo	Netzeinspeisung	713000	630000	98.50	
SMA Solar Technology AG	Sunny Central SC 720HE-20	NF-Trafo	Netzeinspeisung	808000	720000	98.40	
SMA Solar Technology AG	Sunny Central SC 760HE-20	NF-Trafo	Netzeinspeisung	853000	760000	98.40	
SMA Solar Technology AG	Sunny Central SC 800HE-20	NF-Trafo	Netzeinspeisung	898000	800000	98.40	
SMA Solar Technology AG	SB 3300-11	NF-Trafo	Netzeinspeisung	3820	3300	94.40	
SMA Solar Technology AG	SB 3800-11	NF-Trafo	Netzeinspeisung	4040	3800	94.70	
SMA Solar Technology AG	SMC 4600A-11	NF-Trafo	Netzeinspeisung	5250	4600	95.30	
SMA Solar Technology AG	SMC 5000A-11	NF-Trafo	Netzeinspeisung	5750	5000	95.30	
SMA Solar Technology AG	SMC 6000A-11	NF-Trafo	Netzeinspeisung	6300	6000	95.30	
SMA Solar Technology AG	STP 20000TLEE-10	NF-Trafo	Netzeinspeisung	20450	20000	98.20	
SMA Solar Technology AG	SB 3000TLST-21	trafolos (einstufig)	Netzeinspeisung	3200	3000	96.10	
SMA Solar Technology AG	SB 2500TLST-21	trafolos (einstufig)	Netzeinspeisung	2650	2500	96.00	
SMA Solar Technology AG	SB 1300TL-10	trafolos (einstufig)	Netzeinspeisung	1400	1300	94.30	
SMA Solar Technology AG	STP 15000TLHE-10	trafolos (einstufig)	Netzeinspeisung	15200	15000	98.70	
SMA Solar Technology AG	STP 15000TLEE-10	trafolos (einstufig)	Netzeinspeisung	15260	15000	98.30	
SMA Solar Technology AG	SB 3600TL-21	trafolos (einstufig)	Netzeinspeisung	3880	3680	96.40	
SMA Solar Technology AG	STP 5000TL-20	trafolos (einstufig)	Netzeinspeisung	5100	5000	97.10	
SMA Solar Technology AG	STP 6000TL-20	trafolos (einstufig)	Netzeinspeisung	6125	6000	97.40	
SMA Solar Technology AG	STP 7000TL-20	trafolos (einstufig)	Netzeinspeisung	7175	7000	97.50	
SMA Solar Technology AG	STP 9000TL-20	trafolos (einstufig)	Netzeinspeisung	9225	9000	97.60	
SMA Solar Technology AG	STP 8000TL-20	trafolos (einstufig)	Netzeinspeisung	8200	8000	97.60	
SMA Solar Technology AG	SB 5000TL Multi String	trafolos (einstufig)	Netzeinspeisung	5300	4600	94.50
Sputnik Engineering AG	SolarMax 20S	trafolos (zweistufig)	Netzeinspeisung	24000	20000	96.00	
Sputnik Engineering AG	SolarMax 35S	trafolos (zweistufig)	Netzeinspeisung	45000	35000	96.01	
Sputnik Engineering AG	SolarMax 2000S	trafolos (zweistufig)	Netzeinspeisung	2300	1980	95.40	
Sputnik Engineering AG	SolarMax 3000S	trafolos (zweistufig)	Netzeinspeisung	3300	2750	95.50	
Sputnik Engineering AG	SolarMax 4200S	trafolos (zweistufig)	Netzeinspeisung	5000	4180	95.80	
Sputnik Engineering AG	SolarMax 6000S	trafolos (zweistufig)	Netzeinspeisung	6000	5060	96.20	
Sputnik Engineering AG	SolarMax 10MT2	trafolos (zweistufig)	Netzeinspeisung	12000	10000	97.50	
Sputnik Engineering AG	SolarMax 13MT2	trafolos (zweistufig)	Netzeinspeisung	15000	13000	97.50	
Sputnik Engineering AG	SolarMax 15MT2	trafolos (zweistufig)	Netzeinspeisung	18000	15000	97.50	
Sputnik Engineering AG	SolarMax 13MT3	trafolos (zweistufig)	Netzeinspeisung	15000	13000	97.50	
Sputnik Engineering AG	SolarMax 15MT3	trafolos (zweistufig)	Netzeinspeisung	18000	15000	97.50	
