MODUL-HERSTELLER	MODUL-TYP	NENNLEISTUNG [W]	MODULWIRKUNGSGRAD [%]	SPANNUNG IM MPP [V]	STROM IM MPP [A]	VERSION
SolarWorld AG	SW 50 mono/RD094	50.00	11.29	16.70	2.99	10/2006
SolarWorld AG	SW 75 mono/R5E	75.00	11.86	17.30	4.34	5/2007
SolarWorld AG	SW 80 mono/R5E	80.00	12.65	17.50	4.58	5/2007
SolarWorld AG	SW 85 mono/R5E	85.00	13.44	17.80	4.78	5/2007
SolarWorld AG	SW 205 poly	205.00	12.23	28.50	7.20	1/2008
SolarWorld AG	SW 210 poly	210.00	12.52	28.70	7.32	1/2008
SolarWorld AG	SW 215 poly	215.00	12.82	28.90	7.44	1/2008
SolarWorld AG	SW 220 poly	220.00	13.12	29.20	7.54	1/2008
SolarWorld AG	SW 225 poly	225.00	13.42	29.50	7.63	1/2008
SolarWorld AG	SW 230 poly	230.00	13.72	29.80	7.72	3/2008
SolarWorld AG	SW 220 mono	220.00	13.12	29.30	7.51	3/2009
SolarWorld AG	SW 225 mono	225.00	13.42	29.50	7.64	3/2009
SolarWorld AG	SW 230 mono	230.00	13.72	29.60	7.76	3/2009
SolarWorld AG	SW 235 mono	235.00	14.02	29.80	7.89	3/2009
SolarWorld AG	SW 240 mono	240.00	14.31	30.00	8.02	3/2009
SolarWorld AG	SW 245 mono	245.00	14.61	30.10	8.14	3/2009
SolarWorld AG	SW 80 poly/RIA	80.00	11.12	17.90	4.48	5/2009
SolarWorld AG	SW 120 poly/R6A	120.00	11.70	17.90	6.72	5/2009
SolarWorld AG	SW 40 poly/RGA	40.00	10.28	17.90	2.24	5/2009
SolarWorld AG	SW 80 mono/R5A	80.00	11.71	17.50	4.58	5/2009
SolarWorld AG	SW 60 poly/RHA	60.00	10.95	17.90	3.36	5/2009
SolarWorld AG	SW 175 poly	175.00	13.42	36.00	4.90	1/2006
SolarWorld AG	SW 125 compact poly	125.00	10.94	18.60	6.73	4/2007
SolarWorld AG	SW 130 compact poly	130.00	11.38	18.80	6.92	4/2007
SolarWorld AG	SW 135 compact poly	135.00	11.82	18.90	7.15	4/2007
SolarWorld AG	SW 140 compact poly	140.00	12.26	19.10	7.33	4/2007
SolarWorld AG	SW 145 compact poly	145.00	12.69	19.30	7.52	4/2007
SolarWorld AG	SW 150 compact poly	150.00	13.13	19.70	7.62	4/2007
SolarWorld AG	SW 230 poly	230.00	13.72	29.80	7.72	5/2009
SolarWorld AG	SW 235 poly	235.00	14.02	30.00	7.85	5/2009
SolarWorld AG	SW 240 poly	240.00	14.31	30.20	7.96	5/2009
SolarWorld AG	SW 220 mono	220.00	13.12	29.40	7.50	10/2009
SolarWorld AG	SW 225 mono	225.00	13.42	29.70	7.59	10/2009
SolarWorld AG	SW 230 mono	230.00	13.72	30.00	7.68	10/2009
SolarWorld AG	SW 235 mono	235.00	14.02	30.30	7.77	10/2009
SolarWorld AG	SW 240 mono	240.00	14.31	30.60	7.87	10/2009
SolarWorld AG	SW 245 mono	245.00	14.61	30.80	7.96	10/2009
SolarWorld AG	SW 220 poly	220.00	13.12	29.20	7.54	1/2010
SolarWorld AG	SW 225 poly	225.00	13.42	29.50	7.63	1/2010
SolarWorld AG	SW 230 poly	230.00	13.72	29.80	7.72	1/2010
SolarWorld AG	SW 235 poly	235.00	14.02	30.00	7.85	1/2010
SolarWorld AG	SW 225 mono	225.00	13.42	29.70	7.59	1/2010
SolarWorld AG	SW 230 mono	230.00	13.72	30.00	7.68	1/2010
SolarWorld AG	SW 235 mono	235.00	14.02	30.30	7.77	1/2010
SolarWorld AG	SW 240 mono	240.00	14.31	30.60	7.87	1/2010
SolarWorld AG	SW 220 mono black	220.00	13.12	29.40	7.50	1/2010
SolarWorld AG	SW 225 mono black	225.00	13.42	29.70	7.59	1/2010
SolarWorld AG	SW 230 mono black	230.00	13.72	30.00	7.68	1/2010
SolarWorld AG	SW 235 mono black	235.00	14.02	30.30	7.77	1/2010
SolarWorld AG	SW 145 compact mono black	145.00	12.69	19.40	7.50	2/2010
SolarWorld AG	SW 150 compact mono black	150.00	13.13	19.80	7.59	2/2010
SolarWorld AG	SW 155 compact mono black	155.00	13.57	20.20	7.68	2/2010
SolarWorld AG	SW 50 poly/RMA	50.00	10.81	18.20	2.75	7/2010
SolarWorld AG	SW 80 poly/RNA	80.00	13.05	17.90	4.49	7/2010
SolarWorld AG	SW 130 poly/R6A	130.00	12.68	17.40	7.49	7/2010
SolarWorld AG	SW 140 poly/R6A	140.00	13.65	18.10	7.76	7/2010
SolarWorld AG	SW 145 compact mono black	145.00	12.69	19.50	7.45	7/2010
SolarWorld AG	SW 230 mono	230.00	13.72	30.00	7.68	7/2010
SolarWorld AG	SW 225 mono	225.00	13.42	29.70	7.59	7/2010
SolarWorld AG	SW 150 compact mono black	150.00	13.13	19.80	7.59	7/2010
SolarWorld AG	SW 155 compact mono black	155.00	13.57	20.10	7.72	7/2010
SolarWorld AG	SW 220 poly	220.00	13.12	29.20	7.54	7/2010
SolarWorld AG	SW 225 poly	225.00	13.42	29.50	7.63	7/2010
SolarWorld AG	SW 230 poly	230.00	13.72	29.80	7.72	7/2010
SolarWorld AG	SW 235 poly	235.00	14.02	30.00	7.85	7/2010
SolarWorld AG	SW 235 mono	235.00	14.02	30.30	7.77	7/2010
SolarWorld AG	SW 240 mono	240.00	14.31	30.60	7.87	12/2010
SolarWorld AG	SW 220 mono black	220.00	13.12	29.40	7.50	7/2010
SolarWorld AG	SW 225 mono black	225.00	13.42	29.70	7.59	7/2010
SolarWorld AG	SW 230 mono black	230.00	13.72	30.00	7.68	7/2010
SolarWorld AG	SW 235 mono black	235.00	14.02	30.30	7.77	7/2010
SolarWorld AG	SW 160 compact mono black	160.00	14.01	20.40	7.85	12/2010
SolarWorld AG	SW 240 poly	240.00	14.31	30.20	7.96	12/2010
SolarWorld AG	SW 245 mono	245.00	14.61	30.80	7.96	12/2010
SolarWorld AG	SW 240 mono black	240.00	14.31	30.60	7.87	12/2010
SolarWorld AG	SW 245 poly	245.00	14.61	30.80	7.96	4/2011
SolarWorld AG	SW 250 poly	250.00	14.91	30.80	8.12	4/2011
SolarWorld AG	SW 245 mono black	245.00	14.61	30.80	7.96	4/2011
SolarWorld AG	SW 250 mono black	250.00	14.91	31.10	8.05	4/2011
SolarWorld AG	SW 150 compact mono black	150.00	13.13	19.80	7.59	8/2011
SolarWorld AG	SW 155 compact mono black	155.00	13.57	20.00	7.77	8/2011
SolarWorld AG	SW 160 compact mono black	160.00	14.01	20.20	7.94	8/2011
SolarWorld AG	SW 150 compact mono black laminate	150.00	13.27	19.80	7.59	8/2011
SolarWorld AG	SW 155 compact mono black laminate	155.00	13.71	20.00	7.77	8/2011
SolarWorld AG	SW 160 compact mono black laminate	160.00	14.15	20.20	7.94	8/2011
SolarWorld AG	SW 50 poly/RMA	50.00	10.81	18.20	2.75	5/2011
SolarWorld AG	SW 80 poly/RNA	80.00	13.05	17.90	4.49	5/2011
SolarWorld AG	SW 130 poly/R6A	130.00	12.68	17.40	7.49	5/2011
SolarWorld AG	SW 140 poly/R6A	140.00	13.65	18.00	7.85	5/2011
SolarWorld AG	SW 225 poly	225.00	13.42	29.50	7.63	5/2011
SolarWorld AG	SW 230 poly	230.00	13.72	29.80	7.72	5/2011
SolarWorld AG	SW 235 poly	235.00	14.02	30.00	7.85	5/2011
SolarWorld AG	SW 240 poly	240.00	14.31	30.20	7.96	5/2011
SolarWorld AG	SW 245 poly	245.00	14.61	30.80	7.96	5/2011
SolarWorld AG	SW 250 poly	250.00	14.91	30.80	8.12	5/2011
SolarWorld AG	SW 230 mono black	230.00	13.72	30.00	7.68	5/2011
SolarWorld AG	SW 235 mono black	235.00	14.02	30.30	7.77	5/2011
SolarWorld AG	SW 240 mono black	240.00	14.31	30.60	7.87	5/2011
SolarWorld AG	SW 245 mono black	245.00	14.61	30.80	7.96	5/2011
SolarWorld AG	SW 250 mono black	250.00	14.91	31.10	8.05	5/2011
SolarWorld AG	SW 230 mono	230.00	13.72	30.00	7.68	7/2011
SolarWorld AG	SW 235 mono	235.00	14.02	30.30	7.77	7/2011
SolarWorld AG	SW 240 mono	240.00	14.31	30.60	7.87	7/2011
SolarWorld AG	SW 245 mono	245.00	14.61	30.80	7.96	7/2011
SolarWorld AG	SW 50 poly/RMA	50.00	10.81	18.20	2.75	11/2011
SolarWorld AG	SW 80 poly/RNA	80.00	13.05	17.90	4.49	11/2011
SolarWorld AG	SW 85 poly/R5A	85.00	12.44	17.90	4.77	11/2011
SolarWorld AG	SW 165 compact mono black laminate	165.00	14.59	20.40	8.12	8/2011
SolarWorld AG	SW 175 poly	175.00	13.42	36.00	4.87	8/2011
SolarWorld AG	SW 180 poly	180.00	13.80	36.30	4.97	8/2011
SolarWorld AG	SW 230 poly	230.00	13.72	29.80	7.72	8/2011
SolarWorld AG	SW 235 poly	235.00	14.02	30.00	7.85	8/2011
SolarWorld AG	SW 240 poly	240.00	14.31	30.20	7.96	1/2012
SolarWorld AG	SW 245 poly	245.00	14.61	30.80	7.96	1/2012
SolarWorld AG	SW 250 poly	250.00	14.91	30.80	8.12	1/2012
SolarWorld AG	SW 230 mono	230.00	13.72	30.00	7.68	8/2011
SolarWorld AG	SW 235 mono	235.00	14.02	30.30	7.77	8/2011
SolarWorld AG	SW 240 mono	240.00	14.31	30.60	7.87	8/2011
SolarWorld AG	SW 245 mono	245.00	14.61	30.80	7.96	8/2011
SolarWorld AG	SW 250 mono	250.00	14.91	31.10	8.05	9/2011
SolarWorld AG	SW 235 mono black	235.00	14.02	30.30	7.77	1/2012
SolarWorld AG	SW 240 mono black	240.00	14.31	30.60	7.87	1/2012
SolarWorld AG	SW 245 mono black	245.00	14.61	30.80	7.96	1/2012
SolarWorld AG	SW 250 mono black	250.00	14.91	31.10	8.05	1/2012
SolarWorld AG	SW 130 poly/R6A	130.00	12.68	17.40	7.49	3/2012
SolarWorld AG	SW 140 poly/R6A	140.00	13.65	18.00	7.85	3/2012
SolarWorld AG	SW 135 poly/R6A	135.00	13.17	17.70	7.69	3/2012
SolarWorld AG	SW 150 compact mono black	150.00	13.13	19.80	7.59	2/2012
SolarWorld AG	SW 155 compact mono black	155.00	13.57	20.00	7.77	2/2012
SolarWorld AG	SW 196 Vario poly	196.00	14.43	24.70	7.96	3/2012
SolarWorld AG	SW 160 compact mono black SunPlain	160.00	13.14	20.20	7.94	5/2012
SolarWorld AG	SW 180 poly	180.00	10.74	27.80	6.48	4/2007
SolarWorld AG	SW 185 poly	185.00	11.03	27.90	6.64	4/2007
SolarWorld AG	SW 190 poly	190.00	11.33	28.00	6.79	4/2007
SolarWorld AG	SW 195 poly	195.00	11.63	28.10	6.94	4/2007
SolarWorld AG	SW 170 mono	170.00	13.04	35.50	4.80	12/2006
SolarWorld AG	SW 175 mono	175.00	13.42	35.80	4.90	12/2006
SolarWorld AG	SW 180 mono	180.00	13.80	36.00	5.00	12/2006
SolarWorld AG	SW 185 mono	185.00	14.19	36.30	5.10	12/2006
SolarWorld AG	SW 190 mono	190.00	14.57	36.50	5.20	12/2006
SolarWorld AG	SW 195 mono	195.00	14.95	36.80	5.30	12/2006
SolarWorld AG	SW 50 poly/RMA	50.00	10.81	18.20	2.75	9/2012
SolarWorld AG	SW 80 poly/RNA	80.00	12.28	17.90	4.49	9/2012
SolarWorld AG	SW 85 poly/R5A	85.00	12.44	17.90	4.77	9/2012
SolarWorld AG	SW 130 poly/R6A	130.00	12.68	17.40	7.49	9/2012
SolarWorld AG	SW 135 poly/R6A	135.00	13.17	17.70	7.69	9/2012
SolarWorld AG	SW 140 poly/R6A	140.00	13.65	18.00	7.85	9/2012
SolarWorld AG	SW 150 compact mono black	150.00	13.13	19.80	7.59	9/2012
SolarWorld AG	SW 155 compact mono black	155.00	13.57	20.00	7.77	9/2012
SolarWorld AG	SW 160 compact mono black	160.00	14.01	20.20	7.94	9/2012
SolarWorld AG	SW 175 poly	175.00	13.42	36.00	4.87	9/2012
SolarWorld AG	SW 180 poly	180.00	13.80	36.30	4.97	9/2012
SolarWorld AG	SW 185 poly	185.00	14.19	36.50	5.08	8/2012
SolarWorld AG	SW 192 Vario poly	192.00	14.13	24.20	7.96	9/2012
SolarWorld AG	SW 196 Vario poly	196.00	14.43	24.70	7.96	9/2012
SolarWorld AG	SW 200 Vario poly	200.00	14.72	24.70	8.12	9/2012
SolarWorld AG	SW 240 poly	240.00	14.31	30.20	7.96	9/2012
SolarWorld AG	SW 245 poly	245.00	14.61	30.80	7.96	9/2012
SolarWorld AG	SW 250 poly	250.00	14.91	30.80	8.12	9/2012
SolarWorld AG	SW 250 mono	250.00	14.91	31.10	8.05	9/2012
SolarWorld AG	SW 255 mono	255.00	15.21	31.40	8.15	9/2012
SolarWorld AG	SW 260 mono	260.00	15.51	31.60	8.24	9/2012
SolarWorld AG	SW 240 mono black	240.00	14.31	30.60	7.87	9/2012
SolarWorld AG	SW 245 mono black	245.00	14.61	30.80	7.96	9/2012
SolarWorld AG	SW 250 mono black	250.00	14.91	31.10	8.05	9/2012
SolarWorld AG	SW 155 compact poly SunPlain	155.00	12.73	19.90	7.83	1/2013
SolarWorld AG	SW 160 compact poly SunPlain	160.00	13.14	20.20	7.96	1/2013
SolarWorld AG	SW 165 compact poly SunPlain	165.00	13.55	20.50	8.08	1/2013
SolarWorld AG	SW 150 compact mono black	150.00	13.13	19.80	7.59	10/2012
SolarWorld AG	SW 155 compact mono black	155.00	13.57	20.00	7.77	10/2012
SolarWorld AG	SW 160 compact mono black	160.00	14.01	20.20	7.94	10/2012
SolarWorld AG	SW 160 compact poly	160.00	14.01	20.20	7.96	10/2012
SolarWorld AG	SW 196 Vario poly	196.00	14.43	24.70	7.96	10/2012
SolarWorld AG	SW 240 mono black	240.00	14.31	30.60	7.87	10/2012
SolarWorld AG	SW 245 mono black	245.00	14.61	30.80	7.96	10/2012
SolarWorld AG	SW 250 mono black	250.00	14.91	31.10	8.05	10/2012
SolarWorld AG	SW 250 mono	250.00	14.91	31.10	8.05	10/2012
SolarWorld AG	SW 255 mono	255.00	15.21	31.40	8.15	10/2012
SolarWorld AG	SW 260 mono	260.00	15.51	31.60	8.24	10/2012
SolarWorld AG	SW 240 poly	240.00	14.31	30.20	7.96	2/2013
SolarWorld AG	SW 245 poly	245.00	14.61	30.80	7.96	2/2013
SolarWorld AG	SW 250 poly	250.00	14.91	30.80	8.12	2/2013
SolarWorld AG	SW 255 poly	255.00	15.21	31.10	8.20	2/2013
SolarWorld AG	SW 255 mono	255.00	15.21	31.40	8.15	2/2013
SolarWorld AG	SW 260 mono	260.00	15.51	31.60	8.24	2/2013
SolarWorld AG	SW 265 mono	265.00	15.81	31.90	8.33	2/2013
SolarWorld AG	SW 270 mono	270.00	16.10	32.10	8.42	2/2013
SolarWorld AG	SW 275 mono	275.00	16.40	32.30	8.52	2/2013
SolarWorld AG	SW 245 mono black	245.00	14.61	30.80	7.96	2/2013
SolarWorld AG	SW 250 mono black	250.00	14.91	31.10	8.05	2/2013
SolarWorld AG	SW 255 mono black	255.00	15.21	31.40	8.15	2/2013
SolarWorld AG	SW 260 mono black	260.00	15.51	31.60	8.24	2/2013
SolarWorld AG	SW 265 mono black	265.00	15.81	31.90	8.33	2/2013
SolarWorld AG	SW 240 poly	240.00	14.31	29.70	8.17	6/2013
SolarWorld AG	SW 245 poly	245.00	14.61	30.10	8.22	6/2013
SolarWorld AG	SW 250 poly	250.00	14.91	30.50	8.27	6/2013
SolarWorld AG	SW 255 poly	255.00	15.21	30.90	8.32	6/2013
SolarWorld AG	SW 245 poly Protect	245.00	14.61	30.10	8.22	6/2013
SolarWorld AG	SW 250 poly Protect	250.00	14.91	30.50	8.27	6/2013
SolarWorld AG	SW 255 poly Protect	255.00	15.21	30.90	8.32	6/2013
SolarWorld AG	SW 260 poly Protect	260.00	15.51	31.40	8.37	6/2013
SolarWorld AG	SW 260 mono black	260.00	15.51	30.70	8.56	6/2013
SolarWorld AG	SW 265 mono black	265.00	15.81	30.80	8.69	6/2013
SolarWorld AG	SW 270 mono black	270.00	16.10	30.90	8.81	6/2013
SolarWorld AG	SW 275 mono black	275.00	16.40	31.00	8.94	6/2013
SolarWorld AG	SW 265 mono	265.00	15.81	30.80	8.69	6/2013
SolarWorld AG	SW 270 mono	270.00	16.10	30.90	8.81	6/2013
SolarWorld AG	SW 275 mono	275.00	16.40	31.00	8.94	6/2013
SolarWorld AG	SW 280 mono	280.00	16.70	31.20	9.07	6/2013
SolarWorld AG	SW 240 poly	240.00	14.31	29.70	8.17	7/2013
SolarWorld AG	SW 245 poly	245.00	14.61	30.10	8.22	7/2013
SolarWorld AG	SW 250 poly	250.00	14.91	30.50	8.27	7/2013
SolarWorld AG	SW 255 poly	255.00	15.21	30.90	8.32	7/2013
SolarWorld AG	SW 245 poly Protect	245.00	14.61	30.10	8.22	7/2013
SolarWorld AG	SW 250 poly Protect	250.00	14.91	30.50	8.27	7/2013
SolarWorld AG	SW 255 poly Protect	255.00	15.21	30.90	8.32	7/2013
SolarWorld AG	SW 260 poly Protect	260.00	15.51	31.40	8.37	7/2013
SolarWorld AG	SW 260 mono black	260.00	15.51	30.70	8.56	7/2013
SolarWorld AG	SW 265 mono black	265.00	15.81	30.80	8.69	7/2013
SolarWorld AG	SW 270 mono black	270.00	16.10	30.90	8.81	7/2013
SolarWorld AG	SW 275 mono black	275.00	16.40	31.00	8.94	7/2013
SolarWorld AG	SW 265 mono	265.00	15.81	30.80	8.69	7/2013
SolarWorld AG	SW 270 mono	270.00	16.10	30.90	8.81	7/2013
SolarWorld AG	SW 275 mono	275.00	16.40	31.00	8.94	7/2013
SolarWorld AG	SW 280 mono	280.00	16.70	31.20	9.07	7/2013
SolarWorld AG	SW 200 Vario poly	200.00	14.72	24.40	8.27	2/2014
SolarWorld AG	SW 250 poly	250.00	14.91	30.50	8.27	2/2014
SolarWorld AG	SW 255 poly	255.00	15.21	30.90	8.32	2/2014
SolarWorld AG	SW 250 poly Protect	250.00	14.91	30.50	8.27	2/2014
SolarWorld AG	SW 255 poly Protect	255.00	15.21	30.90	8.32	2/2014
SolarWorld AG	SW 250 mono black	250.00	14.91	31.10	8.05	2/2014
SolarWorld AG	SW 255 mono black	255.00	15.21	30.60	8.43	2/2014
SolarWorld AG	SW 260 mono black	260.00	15.51	30.70	8.56	2/2014
SolarWorld AG	SW 265 mono black	265.00	15.81	30.80	8.69	2/2014
SolarWorld AG	SW 270 mono black	270.00	16.10	30.90	8.81	2/2014
SolarWorld AG	SW 275 mono black	275.00	16.40	31.00	8.94	2/2014
SolarWorld AG	SW 260 mono	260.00	15.51	30.70	8.56	2/2014
SolarWorld AG	SW 265 mono	265.00	15.81	30.80	8.69	2/2014
SolarWorld AG	SW 270 mono	270.00	16.10	30.90	8.81	2/2014
SolarWorld AG	SW 275 mono	275.00	16.40	31.00	8.94	2/2014
SolarWorld AG	SW 280 mono	280.00	16.70	31.20	9.07	2/2014
SolarWorld AG	SW 305 XL mono	305.00	15.52	36.30	8.49	5/2014
SolarWorld AG	SW 310 XL mono	310.00	15.77	36.60	8.56	5/2014
SolarWorld AG	SW 315 XL mono	315.00	16.03	36.80	8.63	5/2014
SolarWorld AG	SW 285 mono Plus	285.00	17.00	31.30	9.11	5/2014
SolarWorld AG	SW 290 mono Plus	290.00	17.30	31.40	9.24	11/2014
SolarWorld AG	SW 280 mono black	280.00	16.70	31.20	9.07	3/2015
SolarWorld AG	SW 260 poly	260.00	15.51	31.40	8.37	3/2015
SolarWorld AG	SW 250 mono black Protect	250.00	14.91	31.10	8.05	1/2015
SolarWorld AG	SW 260 poly Plus	260.00	15.51	31.40	8.37	12/2014
SolarWorld AG	SW 280 mono Plus	280.00	16.70	31.20	9.07	6/2015
SolarWorld AG	SW 285 mono Plus	285.00	17.00	31.30	9.20	6/2015
SolarWorld AG	SW 290 mono Plus	290.00	17.30	31.40	9.33	6/2015
SolarWorld AG	SW 295 mono Plus	295.00	17.59	31.50	9.45	5/2015
SolarWorld AG	SW 250 poly Plus	250.00	14.91	30.50	8.27	12/2014
SolarWorld AG	SW 250 poly Plus	250.00	14.91	30.50	8.27	3/2015
SolarWorld AG	SW 255 poly Plus	255.00	15.21	30.90	8.32	3/2015
SolarWorld AG	SW 260 poly Plus	260.00	15.51	31.40	8.37	3/2015
SolarWorld AG	SW 285 mono black	285.00	17.00	31.30	9.20	6/2015
Conergy	Conergy C 125 PI	125.00	12.60	17.20	7.30	2/2007
Conergy	Conergy C 167 P	167.00	12.84	34.60	4.83	2/2007
Conergy	Conergy C 185 M	185.00	14.12	24.00	7.71	3/2006
Conergy	Conergy C 162 P	162.00	12.37	22.80	7.11	3/2006
Conergy	Conergy C 175 M	175.00	13.45	35.40	4.95	9/2006
Conergy	Conergy C 180 M	180.00	13.74	23.70	7.60	6/2006
Conergy	Conergy E 205 P	205.00	12.42	28.08	7.33	2/2007
Conergy	PowerPlus 190 P	190.00	11.67	28.20	6.72	5/2007
Conergy	PowerPlus 200 P	200.00	12.29	28.60	7.01	5/2007
Conergy	PowerPlus 210 P	210.00	12.90	29.10	7.24	5/2007
Conergy	PowerPlus 220 P	220.00	13.51	29.50	7.47	5/2007
Conergy	PowerPlus 230 P	230.00	14.13	30.00	7.67	5/2007
Conergy	S 170 M	170.00	13.32	35.60	4.80	6/2007
Conergy	S 175 M	175.00	13.71	35.80	4.90	6/2007
Conergy	S 190 P	190.00	12.92	26.00	7.31	6/2007
Conergy	S 200 P	200.00	13.60	26.20	7.63	6/2007
Conergy	S 210 P	210.00	14.28	26.40	7.95	6/2007
Conergy	Conergy E 220 P	220.00	13.33	28.33	7.71	2/2007
Conergy	Conergy E 210 P	210.00	12.73	28.17	7.46	2/2007
Conergy	Conergy E 215 P	215.00	13.03	28.27	7.59	2/2007
Conergy	Conergy E 225 P	225.00	13.64	28.57	7.88	2/2007
Conergy	SC 170 M	170.00	13.04	35.50	4.79	6/2007
Conergy	SC 175 M	175.00	13.42	36.00	4.86	6/2007
Conergy	SC 180 M	180.00	13.80	36.00	5.00	6/2007
Conergy	SC 170 MA	170.00	13.04	35.50	4.79	6/2007
Conergy	SC 175 MA	175.00	13.42	36.00	4.86	6/2007
Conergy	SC 180 MA	180.00	13.80	36.00	5.00	6/2007
Conergy	Q 50 PI	50.00	12.51	16.50	3.04	4/2007
Conergy	Q 30 PA	30.00	11.90	16.50	1.83	12/2007
Conergy	Q 20 PA	20.00	11.76	16.50	1.22	12/2007
Conergy	Q 15 P	15.00	11.46	16.50	0.91	12/2007
Conergy	Q 10 P	10.00	10.50	16.50	0.60	12/2007
Conergy	Q 5 P	5.00	9.01	16.50	0.31	12/2007
Conergy	Power Plus 215 P	215.00	13.21	29.26	7.35	5/2008
Conergy	Power Plus 190M	190.00	11.67	25.50	7.45	5/2008
Conergy	Power Plus 225 P	225.00	13.82	29.76	7.56	5/2008
Conergy	Power Plus 200M	200.00	12.29	26.50	7.55	5/2008
Conergy	Power Plus 210M	210.00	12.90	27.45	7.65	5/2008
Conergy	Power Plus 220M	220.00	13.51	28.38	7.75	5/2008
Conergy	Power Plus 230M	230.00	14.13	29.29	7.85	5/2008
Conergy	Power Plus 240M	240.00	14.74	30.18	7.95	5/2008
Conergy	Power Plus 217M	217.00	13.33	28.70	7.55	5/2008
Conergy	Power Plus 223M	223.00	13.70	29.15	7.65	5/2008
Conergy	P 190P	190.00	12.72	26.70	7.12	3/2008
Conergy	P 195P	195.00	13.05	26.80	7.28	3/2008
Conergy	P 200P	200.00	13.39	26.90	7.44	3/2008
Conergy	PowerPlus 170MC	170.00	12.91	22.97	7.47	9/2009
Conergy	PowerPlus 175MC	175.00	13.29	23.41	7.55	9/2009
Conergy	PowerPlus 180MC	180.00	13.67	23.83	7.62	9/2009
Conergy	PowerPlus 185MC	185.00	14.05	24.18	7.69	9/2009
Conergy	PowerPlus 170MC	170.00	12.91	22.98	7.55	11/2009
Conergy	PowerPlus 175MC	175.00	13.29	23.30	7.65	11/2009
Conergy	PowerPlus 180MC	180.00	13.67	23.61	7.72	11/2009
Conergy	PowerPlus 185MC	185.00	14.05	23.89	7.81	11/2009
Conergy	PowerPlus 200P	200.00	12.29	28.52	7.09	9/2009
Conergy	PowerPlus 205P	205.00	12.59	28.56	7.26	9/2009
Conergy	PowerPlus 210P	210.00	12.90	28.65	7.41	9/2009
Conergy	PowerPlus 215P	215.00	13.21	28.80	7.54	9/2009
Conergy	PowerPlus 220P	220.00	13.51	29.01	7.65	9/2009
Conergy	PowerPlus 225P	225.00	13.82	29.23	7.74	9/2009
Conergy	PowerPlus 230P	230.00	14.13	29.54	7.82	9/2009
Conergy	PowerPlus 210M	210.00	12.90	28.49	7.44	9/2009
Conergy	PowerPlus 215M	215.00	13.21	28.93	7.50	9/2009
Conergy	PowerPlus 220M	220.00	13.51	29.37	7.56	9/2009
Conergy	PowerPlus 225M	225.00	13.82	29.79	7.62	9/2009
Conergy	PowerPlus 230M	230.00	14.13	30.14	7.68	9/2009
Conergy	P 170M	170.00	13.32	35.90	4.74	4/2009
Conergy	P 175M	175.00	13.71	36.00	4.86	4/2009
Conergy	P 180M	180.00	14.10	36.00	5.00	4/2009
Conergy	C 180M	180.00	13.74	23.70	7.60	4/2009
Conergy	P 210PA	210.00	12.71	29.70	7.08	9/2009
Conergy	P 215PA	215.00	13.01	29.70	7.24	9/2009
Conergy	P 220PA	220.00	13.32	29.80	7.40	9/2009
Conergy	P 225PA	225.00	13.62	29.90	7.53	9/2009
Conergy	P 230PA	230.00	13.92	30.00	7.67	9/2009
Conergy	P 190P	190.00	12.72	26.70	7.12	7/2009
Conergy	P 195P	195.00	13.05	26.80	7.28	7/2009
Conergy	P 200P	200.00	13.39	26.90	7.44	7/2009
Conergy	P 205P	205.00	13.72	27.00	7.60	7/2009
Conergy	PM 220P	220.00	13.19	30.20	7.28	7/2010
Conergy	PM 225P	225.00	13.49	30.50	7.37	7/2010
Conergy	PM 230P	230.00	13.79	30.84	7.48	7/2010
Conergy	P 170M	170.00	13.32	35.90	4.74	7/2010
Conergy	P 175M	175.00	13.71	36.00	4.86	7/2010
Conergy	P 180M	180.00	14.10	36.00	5.00	7/2010
Conergy	P 185M	185.00	14.49	36.10	5.12	7/2010
Conergy	P 190M	190.00	14.88	35.80	5.33	7/2010
Conergy	PH 175M	175.00	13.71	35.65	4.92	4/2011
Conergy	PH 180M	180.00	14.10	36.02	5.00	4/2011
Conergy	PH 185M	185.00	14.49	36.38	5.09	4/2011
Conergy	PH 190M	190.00	14.88	36.74	5.17	4/2011
Conergy	P 175M	175.00	13.71	35.20	4.98	4/2011
Conergy	P 180M	180.00	14.10	35.40	5.11	4/2011
Conergy	P 185M	185.00	14.49	35.60	5.21	4/2011
Conergy	P 190M	190.00	14.88	35.80	5.33	4/2011
Conergy	PH 220P	220.00	13.40	28.02	7.86	4/2011
Conergy	PH 225P	225.00	13.70	28.40	7.92	4/2011
Conergy	PH 230P	230.00	14.01	28.78	7.99	4/2011
Conergy	PH 235P	235.00	14.31	29.16	8.06	4/2011
Conergy	PH 240P	240.00	14.62	29.54	8.13	4/2011
Conergy	PM 220P	220.00	13.19	30.20	7.28	4/2011
Conergy	PM 225P	225.00	13.49	30.50	7.37	4/2011
Conergy	PM 230P	230.00	13.79	30.84	7.48	4/2011
Conergy	PM 235P	235.00	14.09	31.14	7.55	4/2011
Conergy	PM 240P	240.00	14.39	30.68	7.90	4/2011
Conergy	P 220PA	220.00	13.32	29.80	7.40	4/2011
Conergy	P 225PA	225.00	13.62	29.90	7.53	4/2011
Conergy	P 230PA	230.00	13.92	30.00	7.67	4/2011
Conergy	P 235PA	235.00	14.23	30.10	7.81	4/2011
